41.1034 	EXP 	Fixation: autoDraw = False
41.1034 	EXP 	grating: autoDraw = False
41.1034 	EXP 	grating: ori = 0.0
41.1034 	EXP 	Fixation: autoDraw = True
42.1036 	INFO 	Keyboard events cleared
42.1031 	EXP 	Fixation: autoDraw = False
42.1031 	EXP 	grating: autoDraw = True
42.3212 	DATA 	Keypress: up
42.3369 	EXP 	New trial (rep=31, index=0): <Trial 31 (0 in rep 31) data={'thisN': 31, 'thisTrialN': 0, 'thisRepN': 31}>
42.3528 	EXP 	Fixation: autoDraw = False
42.3528 	EXP 	grating: autoDraw = False
42.3528 	EXP 	grating: ori = -2.0
42.3528 	EXP 	Fixation: autoDraw = True
43.3536 	INFO 	Keyboard events cleared
43.3531 	EXP 	Fixation: autoDraw = False
43.3531 	EXP 	grating: autoDraw = True
43.6520 	EXP 	grating: autoDraw = False
43.9703 	EXP 	New trial (rep=32, index=0): <Trial 32 (0 in rep 32) data={'thisN': 32, 'thisTrialN': 0, 'thisRepN': 32}>
43.9714 	DATA 	Keypress: up
43.9855 	EXP 	Fixation: autoDraw = False
43.9855 	EXP 	grating: autoDraw = False
43.9855 	EXP 	grating: ori = -3.0
43.9855 	EXP 	Fixation: autoDraw = True
44.9859 	INFO 	Keyboard events cleared
44.9855 	EXP 	Fixation: autoDraw = False
44.9855 	EXP 	grating: autoDraw = True
45.1862 	EXP 	New trial (rep=33, index=0): <Trial 33 (0 in rep 33) data={'thisN': 33, 'thisTrialN': 0, 'thisRepN': 33}>
45.1874 	DATA 	Keypress: up
45.2015 	EXP 	Fixation: autoDraw = False
45.2015 	EXP 	grating: autoDraw = False
45.2015 	EXP 	grating: ori = 4.0
45.2015 	EXP 	Fixation: autoDraw = True
46.2019 	INFO 	Keyboard events cleared
46.2014 	EXP 	Fixation: autoDraw = False
46.2014 	EXP 	grating: autoDraw = True
46.4193 	EXP 	New trial (rep=34, index=0): <Trial 34 (0 in rep 34) data={'thisN': 34, 'thisTrialN': 0, 'thisRepN': 34}>
46.4204 	DATA 	Keypress: up
46.4343 	EXP 	Fixation: autoDraw = False
46.4343 	EXP 	grating: autoDraw = False
46.4343 	EXP 	grating: ori = 0.0
46.4343 	EXP 	Fixation: autoDraw = True
47.4354 	INFO 	Keyboard events cleared
47.4348 	EXP 	Fixation: autoDraw = False
47.4348 	EXP 	grating: autoDraw = True
47.5187 	EXP 	New trial (rep=35, index=0): <Trial 35 (0 in rep 35) data={'thisN': 35, 'thisTrialN': 0, 'thisRepN': 35}>
47.5201 	DATA 	Keypress: up
47.5339 	EXP 	Fixation: autoDraw = False
47.5339 	EXP 	grating: autoDraw = False
47.5339 	EXP 	grating: ori = 3.0
47.5339 	EXP 	Fixation: autoDraw = True
48.5341 	INFO 	Keyboard events cleared
48.5336 	EXP 	Fixation: autoDraw = False
48.5336 	EXP 	grating: autoDraw = True
48.6842 	EXP 	New trial (rep=36, index=0): <Trial 36 (0 in rep 36) data={'thisN': 36, 'thisTrialN': 0, 'thisRepN': 36}>
48.6853 	DATA 	Keypress: up
48.6998 	EXP 	Fixation: autoDraw = False
48.6998 	EXP 	grating: autoDraw = False
48.6998 	EXP 	grating: ori = 0.0
48.6998 	EXP 	Fixation: autoDraw = True
49.7002 	INFO 	Keyboard events cleared
49.6998 	EXP 	Fixation: autoDraw = False
49.6998 	EXP 	grating: autoDraw = True
49.9029 	DATA 	Keypress: up
49.9174 	EXP 	New trial (rep=37, index=0): <Trial 37 (0 in rep 37) data={'thisN': 37, 'thisTrialN': 0, 'thisRepN': 37}>
49.9329 	EXP 	Fixation: autoDraw = False
49.9329 	EXP 	grating: autoDraw = False
49.9329 	EXP 	grating: ori = 4.0
49.9329 	EXP 	Fixation: autoDraw = True
50.9330 	INFO 	Keyboard events cleared
50.9325 	EXP 	Fixation: autoDraw = False
